x,y,value
5,146,46.04954000000001
5,147,48.135360000000006
5,148,47.75
5,149,48.91424
5,150,49.30776
5,151,49.30776
5,152,51.72600000000001
5,153,53.18186
5,154,57.97434
5,155,67.53114000000001
5,156,61.43064000000001
5,157,45.494960000000006
5,158,21.34346000000002
5,159,21.34346000000002
5,160,21.374640000000014
5,161,51.31616000000001
5,162,31.33850000000001
5,163,22.052160000000015
5,164,20.644740000000027
5,165,22.32696
5,166,25.817540000000008
5,167,30.62714000000002
5,168,32.70624000000001
5,169,38.84234
5,170,40.122659999999996
5,171,44.58426
5,172,57.078500000000005
5,173,57.30144
5,174,57.30144
5,175,59.56824
5,176,57.525059999999996
5,177,56.19354
5,178,57.30144
5,179,55.31946000000001
5,180,57.74936000000001
10,0,57.74936000000001
10,1,53.18186
10,2,55.53696
10,3,56.19354
10,4,56.41376000000001
10,5,56.634660000000004
10,6,56.634660000000004
10,7,56.634660000000004
10,8,56.85624
10,9,56.634660000000004
10,10,56.634660000000004
10,11,55.102639999999994
10,12,57.525059999999996
10,13,57.525059999999996
10,14,57.74936000000001
10,15,57.525059999999996
10,16,57.078500000000005
10,17,55.53696
10,18,57.30144
10,19,57.97434
10,20,57.078500000000005
10,21,57.078500000000005
10,22,57.30144
10,23,57.30144
10,24,57.30144
10,25,57.74936000000001
10,26,57.30144
10,27,57.30144
10,28,57.525059999999996
10,29,59.109440000000006
10,30,57.74936000000001
10,31,56.41376000000001
10,32,57.30144
10,33,54.02874000000001
10,34,57.078500000000005
10,35,57.078500000000005
10,36,57.525059999999996
10,37,57.74936000000001
10,38,56.634660000000004
10,39,57.97434
10,40,58.20000000000001
10,41,48.32906
10,42,36.7065
10,43,39.47706000000001
10,44,37.60554000000001
10,45,36.120740000000005
10,46,31.950000000000003
10,47,30.05304000000001
10,48,28.127040000000022
10,49,26.600000000000023
10,50,24.70986
10,51,23.358660000000015
10,52,21.92394000000003
10,53,21.439040000000006
10,54,21.0
10,55,20.86266000000002
10,56,21.966000000000022
10,57,21.439040000000006
10,58,22.186500000000024
10,59,22.008740000000017
10,60,22.141040000000004
10,61,22.473540000000014
10,62,22.42400000000002
10,63,22.839360000000013
10,64,23.238500000000002
10,65,23.543999999999997
10,66,23.41976000000001
10,67,23.543999999999997
10,68,23.670960000000022
10,69,23.800640000000016
10,70,23.735460000000018
10,71,23.41976000000001
10,72,23.735460000000018
10,73,23.41976000000001
10,74,23.238500000000002
10,75,23.17944
10,76,23.006340000000023
10,77,22.89434
10,78,22.42400000000002
10,79,22.141040000000004
10,80,21.439040000000006
10,81,21.170659999999998
10,82,25.734000000000016
10,83,21.882559999999998
10,84,21.374640000000014
10,85,20.724260000000015
10,86,21.283140000000003
10,87,21.254000000000005
10,88,21.11850000000001
10,89,21.10074000000003
10,90,21.170659999999998
10,91,21.0
10,92,20.758640000000028
10,93,20.77146000000002
10,94,21.283140000000003
10,95,21.11850000000001
10,96,20.8985
10,97,20.814000000000007
10,98,20.696000000000026
10,99,20.784960000000012
10,100,20.758640000000028
10,101,20.845760000000013
10,102,20.758640000000028
10,103,20.735039999999998
10,104,20.724260000000015
10,105,20.646500000000017
10,106,20.937060000000017
10,107,21.197760000000017
10,108,32.96376
10,109,38.06424000000001
10,110,37.15296
10,111,37.003460000000004
10,112,32.325060000000015
10,113,36.120740000000005
10,114,36.7065
10,115,37.003460000000004
10,116,38.37344
10,117,38.218500000000006
10,118,39.63744
10,119,40.61400000000001
10,120,39.63744
10,121,39.00000000000001
10,122,37.757760000000005
10,123,37.15296
10,124,37.757760000000005
10,125,38.37344
10,126,39.15834
10,127,42.987840000000006
10,128,41.61504000000001
10,129,37.757760000000005
10,130,42.46794000000001
10,131,42.46794000000001
10,132,42.64056000000001
10,133,42.987840000000006
10,134,42.813860000000005
10,135,20.86266000000002
10,136,21.02234
10,137,24.346559999999997
10,138,43.690560000000005
10,139,42.29600000000001
10,140,40.94496
10,141,41.78426
10,142,44.94650000000001
10,143,47.55834000000001
10,144,50.909040000000005
10,145,45.679140000000004
10,146,21.472260000000006
10,147,21.506160000000023
10,148,22.052160000000015
10,149,21.34346000000002
10,150,22.008740000000017
10,151,21.506160000000023
10,152,20.8985
10,153,20.662500000000023
10,154,20.650560000000013
10,155,20.845760000000013
10,156,20.77146000000002
10,157,20.814000000000007
10,158,20.829540000000023
10,159,20.880240000000015
10,160,21.312960000000004
10,161,22.052160000000015
10,162,23.800640000000016
10,163,24.20600000000001
10,164,33.48696000000001
10,165,116.27736
10,166,117.0
10,167,117.0
10,168,117.0
10,169,117.0
10,170,117.0
10,171,117.0
10,172,117.0
10,173,117.0
10,174,117.0
10,175,117.0
10,176,117.0
10,177,115.91706
10,178,117.0
10,179,116.27736
10,180,117.0
15,0,115.1985
15,1,111.64649999999999
15,2,117.0
15,3,114.84024000000001
15,4,115.91706
15,5,115.91706
15,6,115.55744
15,7,115.55744
15,8,115.55744
15,9,115.1985
15,10,113.76954
15,11,113.05914
